[2023-12-21 06:58:15,994][INFO] 
===== FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8790>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaad8e50>
===== end of FNN_small-0.3-50-small-2023-12-21-06-58-15 configuration =====

[2023-12-21 06:58:15,994][INFO] ===== start repair ======
[2023-12-21 06:58:15,994][INFO] For pgd attack net
[2023-12-21 06:58:16,102][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 06:58:16,290][INFO] --load the trainset and testset as testing set
[2023-12-21 06:58:16,306][INFO] --evaluate the original net on testset
[2023-12-21 06:58:16,307][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:16,307][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 06:58:16,345][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 06:58:16,894][INFO] --epoch 83 loss 2.2739745378494263
[2023-12-21 06:58:16,900][INFO] --epoch 84 loss 2.2734696865081787
[2023-12-21 06:58:16,906][INFO] --epoch 85 loss 2.27270770072937
[2023-12-21 06:58:16,913][INFO] --epoch 86 loss 2.2744734287261963
[2023-12-21 06:58:16,920][INFO] --epoch 87 loss 2.2743066549301147
[2023-12-21 06:58:16,925][INFO] --epoch 88 loss 2.2740118503570557
[2023-12-21 06:58:16,932][INFO] --epoch 89 loss 2.2740978002548218
[2023-12-21 06:58:16,939][INFO] --epoch 90 loss 2.2732290029525757
[2023-12-21 06:58:16,945][INFO] --epoch 91 loss 2.276486396789551
[2023-12-21 06:58:16,952][INFO] --epoch 92 loss 2.2729381322860718
[2023-12-21 06:58:16,959][INFO] --epoch 93 loss 2.2744505405426025
[2023-12-21 06:58:16,965][INFO] --epoch 94 loss 2.2731354236602783
[2023-12-21 06:58:16,972][INFO] --epoch 95 loss 2.2745484113693237
[2023-12-21 06:58:16,978][INFO] --epoch 96 loss 2.275097131729126
[2023-12-21 06:58:16,984][INFO] --epoch 97 loss 2.274324059486389
[2023-12-21 06:58:16,990][INFO] --epoch 98 loss 2.2755377292633057
[2023-12-21 06:58:16,996][INFO] --epoch 99 loss 2.2756428718566895
[2023-12-21 06:58:17,003][INFO] --epoch 100 loss 2.2751623392105103
[2023-12-21 06:58:17,009][INFO] --epoch 101 loss 2.2747644186019897
[2023-12-21 06:58:17,015][INFO] --epoch 102 loss 2.2765733003616333
[2023-12-21 06:58:17,022][INFO] --epoch 103 loss 2.2761343717575073
[2023-12-21 06:58:17,028][INFO] --epoch 104 loss 2.275738000869751
[2023-12-21 06:58:17,034][INFO] --epoch 105 loss 2.2738887071609497
[2023-12-21 06:58:17,041][INFO] --epoch 106 loss 2.2738665342330933
[2023-12-21 06:58:17,047][INFO] --epoch 107 loss 2.2722268104553223
[2023-12-21 06:58:17,053][INFO] --epoch 108 loss 2.2730484008789062
[2023-12-21 06:58:17,060][INFO] --epoch 109 loss 2.272892117500305
[2023-12-21 06:58:17,066][INFO] --epoch 110 loss 2.2744795083999634
[2023-12-21 06:58:17,072][INFO] --epoch 111 loss 2.2731598615646362
[2023-12-21 06:58:17,079][INFO] --epoch 112 loss 2.2731575965881348
[2023-12-21 06:58:17,085][INFO] --epoch 113 loss 2.273075222969055
[2023-12-21 06:58:17,092][INFO] --epoch 114 loss 2.2728993892669678
