[2023-12-21 03:01:59,535][INFO] 
===== FNN_small-0.05-1000-small-2023-12-21-03-01-59 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaad8ca0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cb597bdc0>
===== end of FNN_small-0.05-1000-small-2023-12-21-03-01-59 configuration =====

[2023-12-21 03:01:59,535][INFO] ===== start repair ======
[2023-12-21 03:01:59,535][INFO] For pgd attack net
[2023-12-21 03:02:01,635][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-21 03:02:04,384][INFO] --load the trainset and testset as testing set
[2023-12-21 03:02:04,392][INFO] --evaluate the original net on testset
[2023-12-21 03:02:04,393][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 03:02:04,393][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 03:02:05,137][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 03:02:19,253][INFO] --epoch 119 loss 0.021751893957844003
[2023-12-21 03:02:19,369][INFO] --epoch 120 loss 0.012563202390447259
[2023-12-21 03:02:19,484][INFO] --epoch 121 loss 0.006115761809633113
[2023-12-21 03:02:19,602][INFO] --epoch 122 loss 0.005431759601924569
[2023-12-21 03:02:19,720][INFO] --epoch 123 loss 0.004910443926928565
[2023-12-21 03:02:19,838][INFO] --epoch 124 loss 0.005007734612445347
[2023-12-21 03:02:19,954][INFO] --epoch 125 loss 0.005696908285608515
[2023-12-21 03:02:20,072][INFO] --epoch 126 loss 0.004081516899168492
[2023-12-21 03:02:20,190][INFO] --epoch 127 loss 0.004136863055464346
[2023-12-21 03:02:20,308][INFO] --epoch 128 loss 0.003628861544711981
[2023-12-21 03:02:20,427][INFO] --epoch 129 loss 0.003293395017681178
[2023-12-21 03:02:20,541][INFO] --epoch 130 loss 0.0030274386386736295
[2023-12-21 03:02:20,660][INFO] --epoch 131 loss 0.0024967731616925446
[2023-12-21 03:02:20,779][INFO] --epoch 132 loss 0.002227591552946251
[2023-12-21 03:02:20,895][INFO] --epoch 133 loss 0.0019319027589517646
[2023-12-21 03:02:21,014][INFO] --epoch 134 loss 0.0018714916710450779
[2023-12-21 03:02:21,132][INFO] --epoch 135 loss 0.0019759544913540593
[2023-12-21 03:02:21,251][INFO] --epoch 136 loss 0.0022850093089800795
[2023-12-21 03:02:21,368][INFO] --epoch 137 loss 0.0022542895705555564
[2023-12-21 03:02:21,487][INFO] --epoch 138 loss 0.0020018456692923793
[2023-12-21 03:02:21,602][INFO] --epoch 139 loss 0.0019012560223927721
[2023-12-21 03:02:21,720][INFO] --epoch 140 loss 0.0019360270714969374
[2023-12-21 03:02:21,838][INFO] --epoch 141 loss 0.0018479691061656922
[2023-12-21 03:02:21,955][INFO] --epoch 142 loss 0.0018359390189289116
[2023-12-21 03:02:22,071][INFO] --epoch 143 loss 0.0017912511801114305
[2023-12-21 03:02:22,187][INFO] --epoch 144 loss 0.0017496019645477645
[2023-12-21 03:02:22,304][INFO] --epoch 145 loss 0.001748293406853918
[2023-12-21 03:02:22,420][INFO] --epoch 146 loss 0.0017439543968066572
[2023-12-21 03:02:22,538][INFO] --epoch 147 loss 0.0017467434103309643
[2023-12-21 03:02:22,657][INFO] --epoch 148 loss 0.0017407682302291506
[2023-12-21 03:02:22,772][INFO] --epoch 149 loss 0.001743213678128086
[2023-12-21 03:02:22,889][INFO] --epoch 150 loss 0.0017425713464035652
[2023-12-21 03:02:23,006][INFO] --epoch 151 loss 0.0017426802092813886
[2023-12-21 03:02:23,122][INFO] --epoch 152 loss 0.0017440153897041455
[2023-12-21 03:02:23,239][INFO] --epoch 153 loss 0.0017493995961558539
[2023-12-21 03:02:23,354][INFO] --epoch 154 loss 0.0017593973054317758
[2023-12-21 03:02:23,471][INFO] --epoch 155 loss 0.0017598102094780188
[2023-12-21 03:02:23,587][INFO] --epoch 156 loss 0.0017670585541054607
[2023-12-21 03:02:23,699][INFO] --epoch 157 loss 0.001822294992598472
[2023-12-21 03:02:23,816][INFO] --epoch 158 loss 0.0018062841387290972
[2023-12-21 03:02:23,931][INFO] --epoch 159 loss 0.0017812885591411032
[2023-12-21 03:02:24,049][INFO] --epoch 160 loss 0.0018261424200318288
[2023-12-21 03:02:24,166][INFO] --epoch 161 loss 0.0018388650845736266
[2023-12-21 03:02:24,283][INFO] --epoch 162 loss 0.001894130372966174
[2023-12-21 03:02:24,403][INFO] --epoch 163 loss 0.0018646348937181756
[2023-12-21 03:02:24,522][INFO] --epoch 164 loss 0.0018208870780654252
[2023-12-21 03:02:24,640][INFO] --epoch 165 loss 0.001907254650723189
[2023-12-21 03:02:24,757][INFO] --epoch 166 loss 0.0015479402485652828
[2023-12-21 03:02:24,875][INFO] --epoch 167 loss 0.0013997265705256723
[2023-12-21 03:02:24,992][INFO] --epoch 168 loss 0.0012463875966204796
[2023-12-21 03:02:25,108][INFO] --epoch 169 loss 0.0015370819899544585
[2023-12-21 03:02:25,226][INFO] --epoch 170 loss 0.0017153675376903265
[2023-12-21 03:02:25,342][INFO] --epoch 171 loss 0.001634094162727706
[2023-12-21 03:02:25,458][INFO] --epoch 172 loss 0.0017420352094632107
[2023-12-21 03:02:25,570][INFO] --epoch 173 loss 0.0027583026119827993
[2023-12-21 03:02:25,685][INFO] --epoch 174 loss 0.004486035025911406
[2023-12-21 03:02:25,798][INFO] --epoch 175 loss 0.001930777941015549
[2023-12-21 03:02:25,913][INFO] --epoch 176 loss 0.0022426773328334095
[2023-12-21 03:02:26,027][INFO] --epoch 177 loss 0.003927896331879311
[2023-12-21 03:02:26,141][INFO] --epoch 178 loss 0.003448576131631853
[2023-12-21 03:02:26,256][INFO] --epoch 179 loss 0.006008246048440924
[2023-12-21 03:02:26,370][INFO] --epoch 180 loss 0.011321479495381936
[2023-12-21 03:02:26,485][INFO] --epoch 181 loss 0.016400674038595752
[2023-12-21 03:02:26,598][INFO] --epoch 182 loss 0.0044214919202204325
[2023-12-21 03:02:26,712][INFO] --epoch 183 loss 0.019724401556595696
[2023-12-21 03:02:26,825][INFO] --epoch 184 loss 0.005804903048556298
[2023-12-21 03:02:26,939][INFO] --epoch 185 loss 0.005033026263845386
[2023-12-21 03:02:27,053][INFO] --epoch 186 loss 0.004502665425388841
[2023-12-21 03:02:27,167][INFO] --epoch 187 loss 0.014380484084540512
[2023-12-21 03:02:27,281][INFO] --epoch 188 loss 0.022919116026605478
[2023-12-21 03:02:27,395][INFO] --epoch 189 loss 0.017565238865790887
[2023-12-21 03:02:27,508][INFO] --epoch 190 loss 0.005907767376629636
[2023-12-21 03:02:27,622][INFO] --epoch 191 loss 0.025404181337944465
[2023-12-21 03:02:27,733][INFO] --epoch 192 loss 0.012924437159381342
