[2023-12-20 22:12:18,441][INFO] 
===== FNN_small-0.05-50-small-2023-12-20-22-12-18 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb597bdc0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.05-50-small-2023-12-20-22-12-18 configuration =====

[2023-12-20 22:12:18,441][INFO] ===== start repair ======
[2023-12-20 22:12:18,441][INFO] For pgd attack net
[2023-12-20 22:12:18,551][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-20 22:12:18,721][INFO] --load the trainset and testset as testing set
[2023-12-20 22:12:18,729][INFO] --evaluate the original net on testset
[2023-12-20 22:12:18,730][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-20 22:12:18,730][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 22:12:18,768][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-20 22:12:19,917][INFO] --epoch 175 loss 2.1780248880386353
[2023-12-20 22:12:19,924][INFO] --epoch 176 loss 2.1783822774887085
[2023-12-20 22:12:19,931][INFO] --epoch 177 loss 2.178039789199829
[2023-12-20 22:12:19,937][INFO] --epoch 178 loss 2.1783130168914795
[2023-12-20 22:12:19,944][INFO] --epoch 179 loss 2.179366707801819
[2023-12-20 22:12:19,951][INFO] --epoch 180 loss 2.179603695869446
[2023-12-20 22:12:19,957][INFO] --epoch 181 loss 2.179520845413208
[2023-12-20 22:12:19,964][INFO] --epoch 182 loss 2.179630398750305
[2023-12-20 22:12:19,971][INFO] --epoch 183 loss 2.1800111532211304
[2023-12-20 22:12:19,977][INFO] --epoch 184 loss 2.1823019981384277
[2023-12-20 22:12:19,983][INFO] --epoch 185 loss 2.181488037109375
[2023-12-20 22:12:19,990][INFO] --epoch 186 loss 2.17921245098114
[2023-12-20 22:12:19,996][INFO] --epoch 187 loss 2.1818501949310303
[2023-12-20 22:12:20,003][INFO] --epoch 188 loss 2.177807331085205
[2023-12-20 22:12:20,009][INFO] --epoch 189 loss 2.1775336265563965
[2023-12-20 22:12:20,015][INFO] --epoch 190 loss 2.1778132915496826
[2023-12-20 22:12:20,022][INFO] --epoch 191 loss 2.1805258989334106
[2023-12-20 22:12:20,028][INFO] --epoch 192 loss 2.1764535903930664
[2023-12-20 22:12:20,035][INFO] --epoch 193 loss 2.176603674888611
[2023-12-20 22:12:20,042][INFO] --epoch 194 loss 2.1752936840057373
[2023-12-20 22:12:20,048][INFO] --epoch 195 loss 2.173746705055237
[2023-12-20 22:12:20,055][INFO] --epoch 196 loss 2.1715015172958374
[2023-12-20 22:12:20,062][INFO] --epoch 197 loss 2.1728811264038086
[2023-12-20 22:12:20,068][INFO] --epoch 198 loss 2.1720378398895264
[2023-12-20 22:12:20,074][INFO] --epoch 199 loss 2.1769092082977295
[2023-12-20 22:12:20,074][INFO] --adv training finished
[2023-12-20 22:12:20,115][INFO] --evaluate the adv training net on testset
[2023-12-20 22:12:20,115][INFO] --For testset, out of 10000 items, ratio 0.1009
[2023-12-20 22:12:20,115][INFO] --test the defense against autoattack
[2023-12-20 22:12:24,615][INFO] correct1 5
[2023-12-20 22:12:29,240][INFO] correct2 27
[2023-12-20 22:12:33,857][INFO] correct3 3
[2023-12-20 22:12:38,276][INFO] correct1 2
[2023-12-20 22:12:39,667][INFO] correct2 31
[2023-12-20 22:12:40,477][INFO] correct3 0
[2023-12-20 22:12:44,962][INFO] correct1 3
[2023-12-20 22:12:49,575][INFO] correct2 30
[2023-12-20 22:12:54,030][INFO] correct3 2
[2023-12-20 22:12:58,514][INFO] correct1 7
[2023-12-20 22:13:03,007][INFO] correct2 30
[2023-12-20 22:13:07,459][INFO] correct3 1
[2023-12-20 22:13:11,971][INFO] correct1 2
[2023-12-20 22:13:16,494][INFO] correct2 26
[2023-12-20 22:13:20,910][INFO] correct3 3
[2023-12-20 22:13:25,207][INFO] correct1 1
[2023-12-20 22:13:29,728][INFO] correct2 31
[2023-12-20 22:13:34,168][INFO] correct3 4
[2023-12-20 22:13:38,710][INFO] correct1 5
[2023-12-20 22:13:41,497][INFO] correct2 29
[2023-12-20 22:13:44,341][INFO] correct3 0
[2023-12-20 22:13:48,803][INFO] correct1 3
[2023-12-20 22:13:53,212][INFO] correct2 29
[2023-12-20 22:13:57,502][INFO] correct3 2
[2023-12-20 22:14:01,962][INFO] correct1 5
[2023-12-20 22:14:06,464][INFO] correct2 28
[2023-12-20 22:14:10,948][INFO] correct3 2
[2023-12-20 22:14:15,268][INFO] correct1 2
[2023-12-20 22:14:19,869][INFO] correct2 27
[2023-12-20 22:14:24,412][INFO] correct3 3
[2023-12-20 22:14:28,864][INFO] correct1 3
[2023-12-20 22:14:33,239][INFO] correct2 27
[2023-12-20 22:14:37,576][INFO] correct3 1
[2023-12-20 22:14:41,944][INFO] correct1 1
[2023-12-20 22:14:46,480][INFO] correct2 29
[2023-12-20 22:14:51,097][INFO] correct3 3
[2023-12-20 22:14:55,605][INFO] correct1 3
[2023-12-20 22:15:00,230][INFO] correct2 30
[2023-12-20 22:15:04,683][INFO] correct3 3
[2023-12-20 22:15:09,213][INFO] correct1 4
[2023-12-20 22:15:13,898][INFO] correct2 28
[2023-12-20 22:15:18,392][INFO] correct3 3
[2023-12-20 22:15:22,960][INFO] correct1 4
[2023-12-20 22:15:27,406][INFO] correct2 31
[2023-12-20 22:15:31,723][INFO] correct3 1
[2023-12-20 22:15:36,281][INFO] correct1 5
[2023-12-20 22:15:40,688][INFO] correct2 27
[2023-12-20 22:15:44,969][INFO] correct3 1
[2023-12-20 22:15:49,370][INFO] correct1 2
[2023-12-20 22:15:54,023][INFO] correct2 31
[2023-12-20 22:15:58,532][INFO] correct3 4
[2023-12-20 22:16:02,862][INFO] correct1 4
[2023-12-20 22:16:07,291][INFO] correct2 26
[2023-12-20 22:16:11,545][INFO] correct3 1
[2023-12-20 22:16:15,970][INFO] correct1 3
[2023-12-20 22:16:20,485][INFO] correct2 28
[2023-12-20 22:16:24,892][INFO] correct3 2
[2023-12-20 22:16:29,462][INFO] correct1 5
[2023-12-20 22:16:33,919][INFO] correct2 28
[2023-12-20 22:16:38,350][INFO] correct3 1
[2023-12-20 22:16:42,756][INFO] correct1 2
[2023-12-20 22:16:47,309][INFO] correct2 26
[2023-12-20 22:16:51,731][INFO] correct3 2
[2023-12-20 22:16:56,198][INFO] correct1 3
[2023-12-20 22:17:00,697][INFO] correct2 30
[2023-12-20 22:17:05,050][INFO] correct3 1
[2023-12-20 22:17:09,559][INFO] correct1 2
[2023-12-20 22:17:13,927][INFO] correct2 25
[2023-12-20 22:17:18,175][INFO] correct3 1
[2023-12-20 22:17:22,605][INFO] correct1 2
[2023-12-20 22:17:27,133][INFO] correct2 29
[2023-12-20 22:17:31,554][INFO] correct3 2
[2023-12-20 22:17:35,969][INFO] correct1 2
[2023-12-20 22:17:40,795][INFO] correct2 31
[2023-12-20 22:17:45,199][INFO] correct3 3
[2023-12-20 22:17:49,516][INFO] correct1 1
[2023-12-20 22:17:54,311][INFO] correct2 30
[2023-12-20 22:17:58,719][INFO] correct3 2
[2023-12-20 22:18:03,039][INFO] correct1 2
[2023-12-20 22:18:07,681][INFO] correct2 28
[2023-12-20 22:18:12,140][INFO] correct3 3
[2023-12-20 22:18:16,538][INFO] correct1 3
[2023-12-20 22:18:20,963][INFO] correct2 27
[2023-12-20 22:18:25,331][INFO] correct3 2
[2023-12-20 22:18:29,719][INFO] correct1 2
[2023-12-20 22:18:34,371][INFO] correct2 30
[2023-12-20 22:18:38,898][INFO] correct3 5
[2023-12-20 22:18:43,317][INFO] correct1 2
[2023-12-20 22:18:45,953][INFO] correct2 26
[2023-12-20 22:18:50,450][INFO] correct3 1
[2023-12-20 22:18:54,790][INFO] correct1 2
[2023-12-20 22:18:59,445][INFO] correct2 30
[2023-12-20 22:19:03,956][INFO] correct3 3
[2023-12-20 22:19:08,441][INFO] correct1 5
[2023-12-20 22:19:12,934][INFO] correct2 28
[2023-12-20 22:19:17,298][INFO] correct3 2
[2023-12-20 22:19:21,721][INFO] correct1 2
[2023-12-20 22:19:26,002][INFO] correct2 29
[2023-12-20 22:19:30,232][INFO] correct3 1
[2023-12-20 22:19:34,761][INFO] correct1 4
[2023-12-20 22:19:39,368][INFO] correct2 30
[2023-12-20 22:19:43,871][INFO] correct3 4
[2023-12-20 22:19:48,464][INFO] correct1 5
[2023-12-20 22:19:53,015][INFO] correct2 30
[2023-12-20 22:19:57,536][INFO] correct3 3
[2023-12-20 22:20:01,782][INFO] correct1 1
[2023-12-20 22:20:04,180][INFO] correct2 29
[2023-12-20 22:20:06,541][INFO] correct3 0
[2023-12-20 22:20:11,019][INFO] correct1 3
[2023-12-20 22:20:15,317][INFO] correct2 28
[2023-12-20 22:20:19,616][INFO] correct3 1
[2023-12-20 22:20:23,951][INFO] correct1 1
[2023-12-20 22:20:28,416][INFO] correct2 28
[2023-12-20 22:20:32,855][INFO] correct3 2
[2023-12-20 22:20:37,279][INFO] correct1 4
[2023-12-20 22:20:41,686][INFO] correct2 23
[2023-12-20 22:20:46,052][INFO] correct3 2
[2023-12-20 22:20:50,441][INFO] correct1 2
[2023-12-20 22:20:54,955][INFO] correct2 29
[2023-12-20 22:20:59,446][INFO] correct3 1
[2023-12-20 22:21:03,980][INFO] correct1 5
[2023-12-20 22:21:08,629][INFO] correct2 29
[2023-12-20 22:21:13,144][INFO] correct3 3
[2023-12-20 22:21:17,746][INFO] correct1 3
[2023-12-20 22:21:22,237][INFO] correct2 30
[2023-12-20 22:21:26,693][INFO] correct3 2
[2023-12-20 22:21:26,703][INFO] correct1 0
[2023-12-20 22:21:31,272][INFO] correct2 31
[2023-12-20 22:21:35,768][INFO] correct3 2
[2023-12-20 22:21:40,331][INFO] correct1 3
[2023-12-20 22:21:44,830][INFO] correct2 28
[2023-12-20 22:21:49,262][INFO] correct3 2
[2023-12-20 22:21:53,717][INFO] correct1 8
[2023-12-20 22:21:58,011][INFO] correct2 28
[2023-12-20 22:22:02,354][INFO] correct3 1
[2023-12-20 22:22:06,796][INFO] correct1 3
[2023-12-20 22:22:11,294][INFO] correct2 29
[2023-12-20 22:22:15,664][INFO] correct3 2
[2023-12-20 22:22:20,216][INFO] correct1 4
[2023-12-20 22:22:24,876][INFO] correct2 30
[2023-12-20 22:22:29,516][INFO] correct3 4
[2023-12-20 22:22:34,019][INFO] correct1 3
[2023-12-20 22:22:38,684][INFO] correct2 24
[2023-12-20 22:22:43,240][INFO] correct3 3
[2023-12-20 22:22:47,731][INFO] correct1 4
