[2023-12-21 04:46:04,732][INFO] 
===== FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 100
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cbaac58b0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 100
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_small-0.1-100-small-2023-12-21-04-46-04 configuration =====

[2023-12-21 04:46:04,732][INFO] ===== start repair ======
[2023-12-21 04:46:04,732][INFO] For pgd attack net
[2023-12-21 04:46:04,942][INFO] --big patch network: --- PatchNet ---
Name: small patch network 99
--- End of PatchNet ---
[2023-12-21 04:46:05,264][INFO] --load the trainset and testset as testing set
[2023-12-21 04:46:05,271][INFO] --evaluate the original net on testset
[2023-12-21 04:46:05,272][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:05,272][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 04:46:05,346][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 04:46:06,382][INFO] --epoch 82 loss 2.255742609500885
[2023-12-21 04:46:06,394][INFO] --epoch 83 loss 2.2553336024284363
[2023-12-21 04:46:06,406][INFO] --epoch 84 loss 2.2524085640907288
[2023-12-21 04:46:06,419][INFO] --epoch 85 loss 2.2490609884262085
[2023-12-21 04:46:06,431][INFO] --epoch 86 loss 2.244585931301117
[2023-12-21 04:46:06,444][INFO] --epoch 87 loss 2.2414433360099792
[2023-12-21 04:46:06,456][INFO] --epoch 88 loss 2.227293014526367
[2023-12-21 04:46:06,468][INFO] --epoch 89 loss 2.200558602809906
[2023-12-21 04:46:06,480][INFO] --epoch 90 loss 2.1563292741775513
[2023-12-21 04:46:06,493][INFO] --epoch 91 loss 2.0695945024490356
[2023-12-21 04:46:06,505][INFO] --epoch 92 loss 2.1048513054847717
[2023-12-21 04:46:06,518][INFO] --epoch 93 loss 1.9279938638210297
[2023-12-21 04:46:06,530][INFO] --epoch 94 loss 1.9874074459075928
[2023-12-21 04:46:06,542][INFO] --epoch 95 loss 1.8235717415809631
[2023-12-21 04:46:06,555][INFO] --epoch 96 loss 1.8612211048603058
[2023-12-21 04:46:06,566][INFO] --epoch 97 loss 1.8078962862491608
[2023-12-21 04:46:06,579][INFO] --epoch 98 loss 1.7601116001605988
[2023-12-21 04:46:06,590][INFO] --epoch 99 loss 1.9192511439323425
[2023-12-21 04:46:06,602][INFO] --epoch 100 loss 1.6903593838214874
[2023-12-21 04:46:06,614][INFO] --epoch 101 loss 1.8736135363578796
[2023-12-21 04:46:06,626][INFO] --epoch 102 loss 1.6898194253444672
[2023-12-21 04:46:06,639][INFO] --epoch 103 loss 1.6724659204483032
[2023-12-21 04:46:06,651][INFO] --epoch 104 loss 1.575649470090866
[2023-12-21 04:46:06,663][INFO] --epoch 105 loss 1.744991511106491
[2023-12-21 04:46:06,675][INFO] --epoch 106 loss 1.834619015455246
[2023-12-21 04:46:06,686][INFO] --epoch 107 loss 1.56665900349617
[2023-12-21 04:46:06,699][INFO] --epoch 108 loss 1.5161418318748474
[2023-12-21 04:46:06,712][INFO] --epoch 109 loss 1.5102035105228424
[2023-12-21 04:46:06,724][INFO] --epoch 110 loss 1.6960343718528748
[2023-12-21 04:46:06,737][INFO] --epoch 111 loss 1.4924089312553406
[2023-12-21 04:46:06,749][INFO] --epoch 112 loss 1.3581012785434723
[2023-12-21 04:46:06,762][INFO] --epoch 113 loss 1.4902723729610443
[2023-12-21 04:46:06,775][INFO] --epoch 114 loss 1.4184049665927887
[2023-12-21 04:46:06,787][INFO] --epoch 115 loss 1.2954986095428467
[2023-12-21 04:46:06,799][INFO] --epoch 116 loss 1.3140923976898193
[2023-12-21 04:46:06,811][INFO] --epoch 117 loss 1.2975363731384277
[2023-12-21 04:46:06,822][INFO] --epoch 118 loss 1.2267732322216034
[2023-12-21 04:46:06,834][INFO] --epoch 119 loss 1.2020356357097626
[2023-12-21 04:46:06,846][INFO] --epoch 120 loss 1.2091415226459503
