[2023-12-21 07:35:38,426][INFO] 
===== FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_big
  no_repair: False
  repair_number: 50
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.05
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c64613430>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 50
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5c6a96df70>
===== end of FNN_big-0.05-50-small-2023-12-21-07-35-38 configuration =====

[2023-12-21 07:35:38,426][INFO] ===== start repair ======
[2023-12-21 07:35:38,426][INFO] For pgd attack net
[2023-12-21 07:35:38,535][INFO] --big patch network: --- PatchNet ---
Name: small patch network 49
--- End of PatchNet ---
[2023-12-21 07:35:40,085][INFO] --load the trainset and testset as testing set
[2023-12-21 07:35:40,100][INFO] --evaluate the original net on testset
[2023-12-21 07:35:40,101][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:40,101][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 07:35:40,142][INFO] --For testset, out of 10000 items, ratio 0.9718
[2023-12-21 07:35:41,430][INFO] --epoch 195 loss 1.7278407216072083
[2023-12-21 07:35:41,436][INFO] --epoch 196 loss 1.6534091234207153
[2023-12-21 07:35:41,442][INFO] --epoch 197 loss 1.6155588030815125
[2023-12-21 07:35:41,449][INFO] --epoch 198 loss 1.6201974749565125
[2023-12-21 07:35:41,456][INFO] --epoch 199 loss 1.5797860622406006
[2023-12-21 07:35:41,456][INFO] --adv training finished
[2023-12-21 07:35:41,491][INFO] --evaluate the adv training net on testset
[2023-12-21 07:35:41,492][INFO] --For testset, out of 10000 items, ratio 0.2166
[2023-12-21 07:35:41,493][INFO] --test the defense against autoattack
[2023-12-21 07:35:45,856][INFO] correct1 8
[2023-12-21 07:35:50,259][INFO] correct2 32
[2023-12-21 07:35:54,656][INFO] correct3 14
[2023-12-21 07:35:59,083][INFO] correct1 6
[2023-12-21 07:36:03,709][INFO] correct2 31
[2023-12-21 07:36:08,308][INFO] correct3 6
[2023-12-21 07:36:12,689][INFO] correct1 5
[2023-12-21 07:36:17,201][INFO] correct2 32
[2023-12-21 07:36:21,529][INFO] correct3 16
[2023-12-21 07:36:25,913][INFO] correct1 8
[2023-12-21 07:36:30,450][INFO] correct2 30
[2023-12-21 07:36:35,683][INFO] correct3 11
[2023-12-21 07:36:41,055][INFO] correct1 6
[2023-12-21 07:36:45,491][INFO] correct2 31
[2023-12-21 07:36:49,736][INFO] correct3 17
[2023-12-21 07:36:53,944][INFO] correct1 6
[2023-12-21 07:36:58,399][INFO] correct2 32
[2023-12-21 07:37:02,849][INFO] correct3 7
[2023-12-21 07:37:07,355][INFO] correct1 9
[2023-12-21 07:37:11,762][INFO] correct2 31
[2023-12-21 07:37:16,149][INFO] correct3 11
[2023-12-21 07:37:20,509][INFO] correct1 6
[2023-12-21 07:37:25,120][INFO] correct2 30
[2023-12-21 07:37:29,701][INFO] correct3 8
[2023-12-21 07:37:34,078][INFO] correct1 10
[2023-12-21 07:37:38,558][INFO] correct2 30
[2023-12-21 07:37:43,029][INFO] correct3 9
[2023-12-21 07:37:47,310][INFO] correct1 5
[2023-12-21 07:37:51,782][INFO] correct2 31
[2023-12-21 07:37:56,234][INFO] correct3 13
[2023-12-21 07:38:00,758][INFO] correct1 8
[2023-12-21 07:38:05,324][INFO] correct2 31
[2023-12-21 07:38:09,761][INFO] correct3 7
[2023-12-21 07:38:14,201][INFO] correct1 5
[2023-12-21 07:38:18,693][INFO] correct2 31
[2023-12-21 07:38:23,125][INFO] correct3 9
