[2023-12-21 05:16:43,189][INFO] 
===== FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: FNN_small
  no_repair: False
  repair_number: 200
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.1
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5c6a982a60>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 200
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cbaac58b0>
===== end of FNN_small-0.1-200-small-2023-12-21-05-16-43 configuration =====

[2023-12-21 05:16:43,190][INFO] ===== start repair ======
[2023-12-21 05:16:43,190][INFO] For pgd attack net
[2023-12-21 05:16:43,594][INFO] --big patch network: --- PatchNet ---
Name: small patch network 199
--- End of PatchNet ---
[2023-12-21 05:16:44,178][INFO] --load the trainset and testset as testing set
[2023-12-21 05:16:44,186][INFO] --evaluate the original net on testset
[2023-12-21 05:16:44,186][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:44,187][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-21 05:16:44,335][INFO] --For testset, out of 10000 items, ratio 0.9658
[2023-12-21 05:16:46,271][INFO] --epoch 81 loss 1.053652137517929
[2023-12-21 05:16:46,293][INFO] --epoch 82 loss 1.3458582982420921
[2023-12-21 05:16:46,316][INFO] --epoch 83 loss 1.0681129023432732
[2023-12-21 05:16:46,338][INFO] --epoch 84 loss 0.9209759384393692
[2023-12-21 05:16:46,362][INFO] --epoch 85 loss 0.6730997040867805
[2023-12-21 05:16:46,386][INFO] --epoch 86 loss 0.99827541410923
[2023-12-21 05:16:46,411][INFO] --epoch 87 loss 0.6155854798853397
[2023-12-21 05:16:46,434][INFO] --epoch 88 loss 1.2155425623059273
[2023-12-21 05:16:46,458][INFO] --epoch 89 loss 1.8526527136564255
[2023-12-21 05:16:46,482][INFO] --epoch 90 loss 1.1330102756619453
[2023-12-21 05:16:46,506][INFO] --epoch 91 loss 0.7997532486915588
[2023-12-21 05:16:46,529][INFO] --epoch 92 loss 1.3272217810153961
[2023-12-21 05:16:46,553][INFO] --epoch 93 loss 0.7688024491071701
[2023-12-21 05:16:46,576][INFO] --epoch 94 loss 0.9217985346913338
[2023-12-21 05:16:46,600][INFO] --epoch 95 loss 0.5628040581941605
[2023-12-21 05:16:46,624][INFO] --epoch 96 loss 1.112908013164997
[2023-12-21 05:16:46,647][INFO] --epoch 97 loss 0.6791196279227734
[2023-12-21 05:16:46,670][INFO] --epoch 98 loss 0.42952149361371994
[2023-12-21 05:16:46,694][INFO] --epoch 99 loss 0.5551747865974903
[2023-12-21 05:16:46,718][INFO] --epoch 100 loss 0.9452790543437004
[2023-12-21 05:16:46,741][INFO] --epoch 101 loss 0.3526034187525511
[2023-12-21 05:16:46,764][INFO] --epoch 102 loss 0.5949593111872673
[2023-12-21 05:16:46,788][INFO] --epoch 103 loss 0.3252015523612499
[2023-12-21 05:16:46,812][INFO] --epoch 104 loss 1.0425727907568216
[2023-12-21 05:16:46,836][INFO] --epoch 105 loss 1.1234046965837479
[2023-12-21 05:16:46,861][INFO] --epoch 106 loss 0.4880128875374794
[2023-12-21 05:16:46,884][INFO] --epoch 107 loss 0.272748202085495
[2023-12-21 05:16:46,908][INFO] --epoch 108 loss 0.31690123211592436
[2023-12-21 05:16:46,932][INFO] --epoch 109 loss 0.1674190303310752
[2023-12-21 05:16:46,955][INFO] --epoch 110 loss 0.1139216236770153
[2023-12-21 05:16:46,979][INFO] --epoch 111 loss 0.43419923819601536
[2023-12-21 05:16:47,003][INFO] --epoch 112 loss 0.14008862152695656
[2023-12-21 05:16:47,027][INFO] --epoch 113 loss 0.22215164778754115
[2023-12-21 05:16:47,051][INFO] --epoch 114 loss 0.08996378816664219
[2023-12-21 05:16:47,074][INFO] --epoch 115 loss 0.06915581040084362
[2023-12-21 05:16:47,098][INFO] --epoch 116 loss 0.44807851896621287
[2023-12-21 05:16:47,123][INFO] --epoch 117 loss 0.4474181458353996
[2023-12-21 05:16:47,147][INFO] --epoch 118 loss 0.18767186347395182
[2023-12-21 05:16:47,171][INFO] --epoch 119 loss 0.11605669604614377
[2023-12-21 05:16:47,194][INFO] --epoch 120 loss 0.0815659947693348
[2023-12-21 05:16:47,218][INFO] --epoch 121 loss 0.07725390791893005
[2023-12-21 05:16:47,241][INFO] --epoch 122 loss 0.0589667372405529
[2023-12-21 05:16:47,267][INFO] --epoch 123 loss 0.041453272104263306
[2023-12-21 05:16:47,290][INFO] --epoch 124 loss 0.05133189051412046
[2023-12-21 05:16:47,314][INFO] --epoch 125 loss 0.04179772292263806
[2023-12-21 05:16:47,338][INFO] --epoch 126 loss 0.03145824349485338
[2023-12-21 05:16:47,362][INFO] --epoch 127 loss 0.03150824806652963
[2023-12-21 05:16:47,386][INFO] --epoch 128 loss 0.03834817209281027
[2023-12-21 05:16:47,409][INFO] --epoch 129 loss 0.031857488909736276
[2023-12-21 05:16:47,432][INFO] --epoch 130 loss 0.025562684517353773
[2023-12-21 05:16:47,455][INFO] --epoch 131 loss 0.027863135561347008
[2023-12-21 05:16:47,480][INFO] --epoch 132 loss 0.02912199730053544
[2023-12-21 05:16:47,504][INFO] --epoch 133 loss 0.025819162605330348
[2023-12-21 05:16:47,528][INFO] --epoch 134 loss 0.02042207249905914
[2023-12-21 05:16:47,551][INFO] --epoch 135 loss 0.020779246697202325
[2023-12-21 05:16:47,575][INFO] --epoch 136 loss 0.0210284146014601
[2023-12-21 05:16:47,600][INFO] --epoch 137 loss 0.019097397453151643
[2023-12-21 05:16:47,623][INFO] --epoch 138 loss 0.019510634359903634
[2023-12-21 05:16:47,648][INFO] --epoch 139 loss 0.02124326361808926
[2023-12-21 05:16:47,671][INFO] --epoch 140 loss 0.01943531061988324
[2023-12-21 05:16:47,694][INFO] --epoch 141 loss 0.01952147064730525
[2023-12-21 05:16:47,718][INFO] --epoch 142 loss 0.019520214176736772
[2023-12-21 05:16:47,742][INFO] --epoch 143 loss 0.01914805267006159
[2023-12-21 05:16:47,767][INFO] --epoch 144 loss 0.01868322375230491
[2023-12-21 05:16:47,791][INFO] --epoch 145 loss 0.01847358455415815
[2023-12-21 05:16:47,815][INFO] --epoch 146 loss 0.018448228016495705
[2023-12-21 05:16:47,838][INFO] --epoch 147 loss 0.018414931604638696
[2023-12-21 05:16:47,863][INFO] --epoch 148 loss 0.018430250114761293
[2023-12-21 05:16:47,887][INFO] --epoch 149 loss 0.018426219350658357
[2023-12-21 05:16:47,911][INFO] --epoch 150 loss 0.018428933573886752
[2023-12-21 05:16:47,935][INFO] --epoch 151 loss 0.018425211892463267
[2023-12-21 05:16:47,958][INFO] --epoch 152 loss 0.018424592213705182
[2023-12-21 05:16:47,982][INFO] --epoch 153 loss 0.01838868565391749
[2023-12-21 05:16:48,005][INFO] --epoch 154 loss 0.018586130696348846
[2023-12-21 05:16:48,028][INFO] --epoch 155 loss 0.018836216419003904
[2023-12-21 05:16:48,052][INFO] --epoch 156 loss 0.018972281483002007
[2023-12-21 05:16:48,076][INFO] --epoch 157 loss 0.01868617138825357
[2023-12-21 05:16:48,099][INFO] --epoch 158 loss 0.01850809552706778
[2023-12-21 05:16:48,123][INFO] --epoch 159 loss 0.018753964570350945
[2023-12-21 05:16:48,147][INFO] --epoch 160 loss 0.01884158921893686
[2023-12-21 05:16:48,171][INFO] --epoch 161 loss 0.01923513924703002
[2023-12-21 05:16:48,195][INFO] --epoch 162 loss 0.019572148681618273
[2023-12-21 05:16:48,219][INFO] --epoch 163 loss 0.020886438665911555
