[2023-12-20 22:01:53,812][INFO] 
===== CNN_small-0.3-1000-small-2023-12-20-22-01-53 configuration =====
  exp_fn: test_goal_test
  seed: None
  dom: deeppoly
  start_abs_cnt: 500
  max_abs_cnt: 1000
  refine_top_k: 800
  tiny_width: 0.001
  lr: 0.001
  batch_size: 50
  min_epochs: 25
  max_epochs: 45
  use_scheduler: True
  no_pts: False
  no_abs: False
  no_refine: False
  quiet: False
  debug: False
  net: CNN_small
  no_repair: False
  repair_number: 1000
  repair_batchsize: 1
  patch_size: small
  repair_radius: 0.3
  divided_repair: 1
  accuracy_loss: <function MnistArgParser.setup_rest.<locals>.ce_loss at 0x7f5cb597bdc0>
  sample_amount: 5000
  reset_params: False
  train_datasize: 10000
  test_datasize: 10000
  repair_batch_size: 1000
  scheduler_fn: <function ExpArgParser.setup_rest.<locals>.<lambda> at 0x7f5cb598daf0>
===== end of CNN_small-0.3-1000-small-2023-12-20-22-01-53 configuration =====

[2023-12-20 22:01:53,813][INFO] ===== start repair ======
[2023-12-20 22:01:53,813][INFO] For pgd attack net
[2023-12-20 22:01:55,956][INFO] --big patch network: --- PatchNet ---
Name: small patch network 999
--- End of PatchNet ---
[2023-12-20 22:01:58,605][INFO] --load the trainset and testset as testing set
[2023-12-20 22:01:58,621][INFO] --evaluate the original net on testset
[2023-12-20 22:01:58,623][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 22:01:58,623][INFO] --evaluate the repaired net on testset and get the bitmap
[2023-12-20 22:01:59,366][INFO] --For testset, out of 10000 items, ratio 0.9827
[2023-12-20 22:02:28,893][INFO] correct1 0
[2023-12-20 22:02:30,016][INFO] correct2 31
[2023-12-20 22:02:30,320][INFO] correct3 0
[2023-12-20 22:02:30,621][INFO] correct1 0
[2023-12-20 22:02:31,758][INFO] correct2 32
[2023-12-20 22:02:32,060][INFO] correct3 0
[2023-12-20 22:02:32,365][INFO] correct1 0
[2023-12-20 22:02:33,518][INFO] correct2 32
[2023-12-20 22:02:33,818][INFO] correct3 0
[2023-12-20 22:02:34,130][INFO] correct1 0
[2023-12-20 22:02:35,290][INFO] correct2 31
[2023-12-20 22:02:35,601][INFO] correct3 0
[2023-12-20 22:02:35,913][INFO] correct1 0
[2023-12-20 22:02:37,033][INFO] correct2 31
[2023-12-20 22:02:37,338][INFO] correct3 0
[2023-12-20 22:02:37,642][INFO] correct1 0
[2023-12-20 22:02:38,759][INFO] correct2 32
[2023-12-20 22:02:39,059][INFO] correct3 0
[2023-12-20 22:02:39,374][INFO] correct1 0
[2023-12-20 22:02:40,493][INFO] correct2 32
[2023-12-20 22:02:40,788][INFO] correct3 0
[2023-12-20 22:02:41,101][INFO] correct1 0
[2023-12-20 22:02:42,240][INFO] correct2 30
[2023-12-20 22:02:42,546][INFO] correct3 0
[2023-12-20 22:02:42,847][INFO] correct1 0
[2023-12-20 22:02:43,962][INFO] correct2 32
[2023-12-20 22:02:44,263][INFO] correct3 0
[2023-12-20 22:02:44,576][INFO] correct1 0
[2023-12-20 22:02:45,739][INFO] correct2 32
[2023-12-20 22:02:46,046][INFO] correct3 0
[2023-12-20 22:02:46,352][INFO] correct1 0
[2023-12-20 22:02:47,480][INFO] correct2 31
[2023-12-20 22:02:47,792][INFO] correct3 0
[2023-12-20 22:02:48,106][INFO] correct1 0
[2023-12-20 22:02:49,279][INFO] correct2 32
[2023-12-20 22:02:49,579][INFO] correct3 0
[2023-12-20 22:02:49,882][INFO] correct1 0
[2023-12-20 22:02:51,040][INFO] correct2 32
[2023-12-20 22:02:51,346][INFO] correct3 0
[2023-12-20 22:02:51,652][INFO] correct1 0
[2023-12-20 22:02:52,762][INFO] correct2 32
[2023-12-20 22:02:53,064][INFO] correct3 0
[2023-12-20 22:02:53,376][INFO] correct1 0
[2023-12-20 22:02:54,513][INFO] correct2 31
[2023-12-20 22:02:54,825][INFO] correct3 0
[2023-12-20 22:02:55,139][INFO] correct1 0
[2023-12-20 22:02:56,283][INFO] correct2 31
[2023-12-20 22:02:56,597][INFO] correct3 0
[2023-12-20 22:02:56,906][INFO] correct1 0
[2023-12-20 22:02:58,086][INFO] correct2 30
[2023-12-20 22:02:58,402][INFO] correct3 0
[2023-12-20 22:02:58,721][INFO] correct1 0
[2023-12-20 22:02:59,882][INFO] correct2 31
[2023-12-20 22:03:00,200][INFO] correct3 0
[2023-12-20 22:03:00,529][INFO] correct1 0
[2023-12-20 22:03:01,716][INFO] correct2 31
[2023-12-20 22:03:02,020][INFO] correct3 0
[2023-12-20 22:03:02,328][INFO] correct1 0
[2023-12-20 22:03:03,486][INFO] correct2 32
[2023-12-20 22:03:03,789][INFO] correct3 0
[2023-12-20 22:03:04,088][INFO] correct1 0
[2023-12-20 22:03:05,242][INFO] correct2 31
[2023-12-20 22:03:05,554][INFO] correct3 0
[2023-12-20 22:03:05,873][INFO] correct1 0
[2023-12-20 22:03:07,059][INFO] correct2 32
[2023-12-20 22:03:07,365][INFO] correct3 0
[2023-12-20 22:03:07,673][INFO] correct1 0
[2023-12-20 22:03:08,780][INFO] correct2 32
[2023-12-20 22:03:09,156][INFO] correct3 0
[2023-12-20 22:03:09,469][INFO] correct1 0
[2023-12-20 22:03:10,601][INFO] correct2 31
[2023-12-20 22:03:10,905][INFO] correct3 0
[2023-12-20 22:03:11,218][INFO] correct1 0
[2023-12-20 22:03:12,359][INFO] correct2 30
[2023-12-20 22:03:12,668][INFO] correct3 0
[2023-12-20 22:03:12,979][INFO] correct1 0
[2023-12-20 22:03:14,125][INFO] correct2 32
[2023-12-20 22:03:14,423][INFO] correct3 0
[2023-12-20 22:03:14,734][INFO] correct1 0
[2023-12-20 22:03:15,851][INFO] correct2 30
[2023-12-20 22:03:16,155][INFO] correct3 0
[2023-12-20 22:03:16,461][INFO] correct1 0
[2023-12-20 22:03:17,585][INFO] correct2 31
[2023-12-20 22:03:17,895][INFO] correct3 0
[2023-12-20 22:03:18,203][INFO] correct1 0
[2023-12-20 22:03:19,357][INFO] correct2 31
[2023-12-20 22:03:19,666][INFO] correct3 0
[2023-12-20 22:03:19,974][INFO] correct1 0
[2023-12-20 22:03:21,128][INFO] correct2 31
[2023-12-20 22:03:21,464][INFO] correct3 0
[2023-12-20 22:03:21,778][INFO] correct1 0
[2023-12-20 22:03:22,942][INFO] correct2 32
[2023-12-20 22:03:23,253][INFO] correct3 0
[2023-12-20 22:03:23,563][INFO] correct1 0
[2023-12-20 22:03:24,730][INFO] correct2 31
[2023-12-20 22:03:25,036][INFO] correct3 0
[2023-12-20 22:03:25,348][INFO] correct1 0
[2023-12-20 22:03:26,502][INFO] correct2 32
[2023-12-20 22:03:26,804][INFO] correct3 0
[2023-12-20 22:03:27,117][INFO] correct1 0
[2023-12-20 22:03:28,219][INFO] correct2 31
[2023-12-20 22:03:28,520][INFO] correct3 0
[2023-12-20 22:03:28,831][INFO] correct1 0
[2023-12-20 22:03:29,936][INFO] correct2 31
[2023-12-20 22:03:30,245][INFO] correct3 0
[2023-12-20 22:03:30,558][INFO] correct1 0
[2023-12-20 22:03:31,748][INFO] correct2 28
[2023-12-20 22:03:32,057][INFO] correct3 0
[2023-12-20 22:03:32,361][INFO] correct1 0
[2023-12-20 22:03:33,506][INFO] correct2 30
[2023-12-20 22:03:33,818][INFO] correct3 0
[2023-12-20 22:03:34,121][INFO] correct1 0
[2023-12-20 22:03:35,256][INFO] correct2 32
[2023-12-20 22:03:35,547][INFO] correct3 0
[2023-12-20 22:03:35,853][INFO] correct1 0
[2023-12-20 22:03:37,018][INFO] correct2 30
[2023-12-20 22:03:37,329][INFO] correct3 0
[2023-12-20 22:03:37,640][INFO] correct1 0
[2023-12-20 22:03:38,792][INFO] correct2 31
[2023-12-20 22:03:39,107][INFO] correct3 0
[2023-12-20 22:03:39,418][INFO] correct1 0
[2023-12-20 22:03:40,569][INFO] correct2 31
[2023-12-20 22:03:40,883][INFO] correct3 0
