For net: CNN_small, radius: 0.05, repair_number: 200, P_big:0.9827
For net: CNN_small, radius: 0.05, repair_number: 200, big_label:0.9827
For net: CNN_small, radius: 0.05, repair_number: 500, big_label:0.9827
For net: CNN_small, radius: 0.05, repair_number: 500, P_big:0.9827
For net: CNN_small, radius: 0.05, repair_number: 1000, big_label:0.9827
For net: CNN_small, radius: 0.05, repair_number: 1000, P_big:0.9827
For net: CNN_small, radius: 0.1, repair_number: 50, big_label:0.98
For net: CNN_small, radius: 0.1, repair_number: 50, P_big:0.9822
For net: CNN_small, radius: 0.1, repair_number: 100, big_label:0.9807
For net: CNN_small, radius: 0.1, repair_number: 100, P_big:0.9819
For net: CNN_small, radius: 0.1, repair_number: 200, big_label:0.9801
For net: CNN_small, radius: 0.1, repair_number: 200, P_big:0.9824
For net: CNN_small, radius: 0.1, repair_number: 500, big_label:0.9805
For net: CNN_small, radius: 0.1, repair_number: 500, P_big:0.9825
For net: CNN_small, radius: 0.1, repair_number: 1000, big_label:0.9804
For net: CNN_small, radius: 0.3, repair_number: 50, big_label:0.9827
For net: CNN_small, radius: 0.3, repair_number: 100, big_label:0.9827
For net: CNN_small, radius: 0.3, repair_number: 200, big_label:0.9826
For net: CNN_small, radius: 0.3, repair_number: 500, big_label:0.9827
For net: CNN_small, radius: 0.3, repair_number: 1000, big_label:0.9827
For net: CNN_small, radius: 0.1, repair_number: 1000, P_big:0.9826
For net: CNN_small, radius: 0.3, repair_number: 50, P_big:0.9827
For net: CNN_small, radius: 0.3, repair_number: 100, P_big:0.9827
For net: CNN_small, radius: 0.3, repair_number: 200, P_big:0.9827
For net: FNN_small, radius: 0.05, repair_number: 50, big_label:0.8986
For net: CNN_small, radius: 0.3, repair_number: 500, P_big:0.9827
For net: CNN_small, radius: 0.3, repair_number: 1000, P_big:0.9821
For net: FNN_small, radius: 0.05, repair_number: 100, big_label:0.9606
For net: FNN_small, radius: 0.05, repair_number: 50, P_big:0.9
For net: FNN_small, radius: 0.05, repair_number: 200, big_label:0.9657
For net: FNN_small, radius: 0.05, repair_number: 100, P_big:0.9641
For net: FNN_small, radius: 0.05, repair_number: 500, big_label:0.9656
For net: FNN_small, radius: 0.05, repair_number: 200, P_big:0.9656
For net: FNN_small, radius: 0.05, repair_number: 1000, big_label:0.9656
